   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -2.70741578E-02 -1.61664072E-04 -1.68019067E-02  3.18644037E-02  0.00000000E+00
     100 -4.56211806E-02  2.10347132E-01 -1.94064267E-01  2.89807087E-01  0.00000000E+00
     200 -5.60892397E-02  9.51787439E-02 -7.02546140E-02  1.30922522E-01  0.00000000E+00
     300  4.93125004E-02 -5.48854521E-02 -1.33684912E-01  1.52695093E-01  0.00000000E+00
     400 -3.50193759E-02 -1.37613243E-01 -1.30861091E-01  1.93102010E-01  0.00000000E+00
     500  1.92031613E-02 -1.08306905E-01  1.38474114E-02  1.10864322E-01  0.00000000E+00
     600  5.70517256E-02  1.08608727E-02 -1.48023357E-01  1.59008717E-01  0.00000000E+00
     700  4.94405128E-02  1.58187228E-01  1.42075677E-01  2.18295812E-01  0.00000000E+00
     800  1.53318236E-01 -1.26890672E-01 -6.31333956E-02  2.08790685E-01  0.00000000E+00
     900  4.39434088E-02  7.67159512E-03  2.68775887E-02  5.20795673E-02  0.00000000E+00
    1000 -1.12317853E-01 -7.06084193E-02  3.89882513E-02  1.38278461E-01  0.00000000E+00
    1100  2.88488278E-03  8.40007094E-03 -1.62861390E-01  1.63103391E-01  0.00000000E+00
    1200 -2.62123309E-02 -9.97220219E-02 -5.76466401E-02  1.18130026E-01  0.00000000E+00
    1300 -4.74866139E-02  8.55251745E-02 -6.61079317E-02  1.18066899E-01  0.00000000E+00
    1400 -1.22232069E-01 -2.12999213E-02 -3.06066389E-02  1.27793316E-01  0.00000000E+00
    1500  9.73752075E-02 -6.54299910E-02  1.87212685E-01  2.20933484E-01  0.00000000E+00
    1600  4.65827045E-02  1.56280268E-02  5.06472775E-02  7.05643698E-02  0.00000000E+00
    1700  4.22235884E-02 -5.52471443E-02  1.48146861E-01  1.63653814E-01  0.00000000E+00
    1800  1.07581513E-01 -1.67058340E-02 -3.90344167E-03  1.08940826E-01  0.00000000E+00
    1900 -3.42179347E-02 -1.99372712E-01  3.14001049E-02  2.04710312E-01  0.00000000E+00
    2000 -1.99844303E-01  8.39943519E-02  1.32050145E-01  2.53830726E-01  0.00000000E+00
    2100 -4.70936284E-02  2.13276304E-02  1.12370318E-01  1.23692223E-01  0.00000000E+00
    2200 -6.05279799E-02 -2.68670141E-01  1.23284149E-01  3.01738733E-01  0.00000000E+00
    2300 -1.07105025E-01 -3.79122043E-02  1.30840056E-01  1.73285723E-01  0.00000000E+00
    2400  9.95488366E-02 -4.44655438E-02  1.83801960E-01  2.13706144E-01  0.00000000E+00
    2500 -1.27477897E-02 -4.66940155E-02  1.24410785E-01  1.33494871E-01  0.00000000E+00
    2600  5.54774144E-03  9.22082166E-02 -2.26291464E-04  9.23752339E-02  0.00000000E+00
    2700 -7.36852031E-02  9.92367135E-03 -3.76800481E-02  8.33533109E-02  0.00000000E+00
    2800  1.06428953E-01 -7.06393433E-02 -4.61937072E-02  1.35834081E-01  0.00000000E+00
    2900 -9.83036062E-02 -5.25632422E-02 -9.85746564E-02  1.48806775E-01  0.00000000E+00
    3000 -6.17979181E-02  1.27031443E-01 -1.13919023E-01  1.81475932E-01  0.00000000E+00
    3100  7.40901729E-02 -3.44507827E-02  1.60550498E-01  1.80146253E-01  0.00000000E+00
    3200 -3.55779156E-02  6.44053005E-02  1.14284664E-01  1.35922093E-01  0.00000000E+00
    3300  1.59451332E-01 -1.07694288E-01 -1.04952934E-01  2.19175513E-01  0.00000000E+00
    3400  2.52680105E-03 -9.31415202E-02  4.33408099E-02  1.02762607E-01  0.00000000E+00
    3500  2.56342704E-02 -6.36877520E-02  6.20703545E-02  9.25525499E-02  0.00000000E+00
    3600 -1.10603772E-01 -1.08605614E-01 -1.38033603E-01  2.07561194E-01  0.00000000E+00
    3700 -9.18435071E-03  1.41242176E-01  1.10887397E-01  1.79804670E-01  0.00000000E+00
    3800 -1.58842658E-01 -6.62361174E-02  6.33195235E-02  1.83378230E-01  0.00000000E+00
    3900 -7.03814310E-02  6.09616697E-02 -4.80662708E-02  1.04786628E-01  0.00000000E+00
    4000  9.31042982E-02  3.12594931E-02 -5.59424887E-02  1.13027113E-01  0.00000000E+00
    4100  5.18095626E-02 -1.20689920E-01 -2.35363286E-02  1.33432553E-01  0.00000000E+00
