#######################################################
# Number of atoms:       400
# Maximum num of neighbours:         6
#######################################################
#  iatom    jatom  itype  jtype        r_{ij}^x        r_{ij}^y        r_{ij}^z        D_{ij}^x        D_{ij}^y        D_{ij}^z           |rij|
       1        2     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       1       22     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       1       21     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       1       20     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       1      381     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       1      400     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       2        3     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       2       23     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       2       22     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       2        1     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       2      382     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       2      381     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       3        4     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       3       24     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       3       23     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       3        2     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       3      383     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       3      382     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       4        5     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       4       25     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       4       24     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       4        3     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       4      384     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       4      383     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       5        6     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       5       26     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       5       25     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       5        4     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       5      385     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       5      384     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       6        7     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       6       27     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       6       26     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       6        5     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       6      386     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       6      385     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       7        8     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       7       28     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       7       27     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       7        6     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       7      387     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       7      386     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       8        9     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       8       29     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       8       28     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       8        7     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       8      388     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       8      387     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9       10     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9       30     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       9       29     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9        8     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
