################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1       1    1.00000000E+00 -6.20456701E-01 -5.95724394E-01 -5.10045025E-01
      -1       1       2    1.00000000E+00 -4.72930114E-01 -8.77518101E-01  7.93668047E-02
      -1       1       3    1.00000000E+00 -5.84135040E-01  6.63333374E-01  4.67733995E-01
      -1       1       4    1.00000000E+00 -7.18417817E-01  1.86106446E-01  6.70253856E-01
      -1       1       5    1.00000000E+00 -2.12669715E-01  1.34455295E-01  9.67829203E-01
      -1       1       6    1.00000000E+00  9.71587555E-01  2.33691345E-01 -3.74963880E-02
      -1       1       7    1.00000000E+00 -3.02465820E-01 -2.96244825E-01  9.05954431E-01
      -1       1       8    1.00000000E+00  5.18164016E-01 -8.53054126E-01 -6.16823415E-02
      -1       1       9    1.00000000E+00 -1.98488093E-01 -9.61721341E-01  1.88929983E-01
      -1       1      10    1.00000000E+00  3.83893653E-01  3.04839627E-01  8.71606829E-01
      -1       1      11    1.00000000E+00  2.00755258E-02 -7.08887130E-01  7.05036176E-01
      -1       1      12    1.00000000E+00  4.98424162E-04 -9.28109634E-01 -3.72306673E-01
      -1       1      13    1.00000000E+00  6.65287504E-01  1.26565398E-01 -7.35781039E-01
      -1       1      14    1.00000000E+00 -2.29373542E-01 -5.29956094E-01 -8.16415529E-01
      -1       1      15    1.00000000E+00 -2.51248812E-01 -3.07259991E-01 -9.17859103E-01
      -1       1      16    1.00000000E+00  9.71006346E-01 -1.88942937E-01  1.46448769E-01
      -1       1      17    1.00000000E+00  9.40381661E-01  1.79659262E-01 -2.88799031E-01
      -1       1      18    1.00000000E+00 -4.00124896E-01  8.52482118E-01 -3.36413892E-01
      -1       1      19    1.00000000E+00 -4.50901367E-01  7.84868586E-01 -4.25052068E-01
      -1       1      20    1.00000000E+00 -8.59730982E-01 -1.66188494E-01  4.82953437E-01
      -1       1      21    1.00000000E+00 -4.55587070E-01  7.67856452E-01  4.50374168E-01
      -1       1      22    1.00000000E+00 -7.58822984E-01 -4.18570204E-01  4.98985634E-01
      -1       1      23    1.00000000E+00  4.52312064E-01 -1.18749703E-01  8.83918721E-01
      -1       1      24    1.00000000E+00 -7.37180939E-01  4.80050937E-01 -4.75515889E-01
      -1       1      25    1.00000000E+00 -7.01270213E-01  7.09439329E-01  7.01136673E-02
      -1       1      26    1.00000000E+00 -1.25128362E-01  4.89634428E-01  8.62902671E-01
      -1       1      27    1.00000000E+00 -1.77298531E-01  6.82759469E-01  7.08805148E-01
      -1       1      28    1.00000000E+00  1.35963068E-01 -9.87396989E-01  8.10014256E-02
      -1       1      29    1.00000000E+00  5.27896100E-01 -8.18901234E-01 -2.25225389E-01
      -1       1      30    1.00000000E+00  1.42248821E-01 -9.87021213E-01  7.45278384E-02
      -1       1      31    1.00000000E+00  7.28476283E-01 -3.06861016E-01  6.12501936E-01
      -1       1      32    1.00000000E+00  7.67215815E-02  4.33259650E-01 -8.97997703E-01
      -1       1      33    1.00000000E+00  3.80664221E-01 -2.55101164E-01 -8.88829650E-01
      -1       1      34    1.00000000E+00  7.45377956E-01 -2.26508936E-02 -6.66257187E-01
      -1       1      35    1.00000000E+00  1.31103508E-01 -2.11316388E-01 -9.68585182E-01
      -1       1      36    1.00000000E+00  7.86420241E-01 -5.37883514E-01  3.03684920E-01
      -1       1      37    1.00000000E+00  6.32532603E-02 -6.89548384E-01 -7.21472141E-01
      -1       1      38    1.00000000E+00  4.15082413E-01 -8.01764830E-01 -4.29976451E-01
      -1       1      39    1.00000000E+00 -3.27395561E-01  4.93958822E-01 -8.05491669E-01
      -1       1      40    1.00000000E+00 -6.51939337E-02 -6.46345495E-01 -7.60254728E-01
      -1       1      41    1.00000000E+00 -5.77255267E-01  3.92855455E-01 -7.15849809E-01
      -1       1      42    1.00000000E+00 -1.96706509E-01  6.17378320E-01  7.61676151E-01
      -1       1      43    1.00000000E+00 -5.41976071E-01  4.62207463E-01  7.01873350E-01
      -1       1      44    1.00000000E+00 -9.37323840E-01  1.99914766E-02  3.47885555E-01
      -1       1      45    1.00000000E+00 -7.81168862E-01  6.13207833E-01  1.17266207E-01
      -1       1      46    1.00000000E+00  3.26471284E-01  9.42814141E-01  6.72160379E-02
      -1       1      47    1.00000000E+00  7.04533987E-01 -5.80323212E-01  4.08481127E-01
      -1       1      48    1.00000000E+00 -5.63722556E-01  7.95681095E-01  2.21604319E-01
      -1       1      49    1.00000000E+00 -5.54041916E-01 -7.51564232E-01  3.58034579E-01
      -1       1      50    1.00000000E+00 -1.69786012E-01 -3.45176713E-01 -9.23052407E-01
      -1       1      51    1.00000000E+00  2.92624782E-01 -1.36173832E-01 -9.46481603E-01
      -1       1      52    1.00000000E+00  5.42812232E-01 -5.23840877E-01 -6.56464482E-01
      -1       1      53    1.00000000E+00 -2.42634003E-01 -9.55948661E-01  1.65199572E-01
      -1       1      54    1.00000000E+00  3.68111496E-01 -8.97747348E-01 -2.41957902E-01
      -1       1      55    1.00000000E+00  7.41739776E-01 -6.68024405E-01 -5.97117994E-02
      -1       1      56    1.00000000E+00  9.78594572E-01 -6.46434551E-02 -1.95381389E-01
      -1       1      57    1.00000000E+00  9.26613317E-01  1.18146137E-01 -3.56972340E-01
      -1       1      58    1.00000000E+00  8.92435354E-01  3.31867574E-01 -3.05651848E-01
      -1       1      59    1.00000000E+00  1.54705540E-01 -3.58075500E-01 -9.20786692E-01
      -1       1      60    1.00000000E+00  8.03188450E-01 -7.51098538E-02 -5.90971085E-01
      -1       1      61    1.00000000E+00  5.32532023E-01 -3.16203805E-01 -7.85127250E-01
      -1       1      62    1.00000000E+00  3.88172917E-01  8.35592219E-01 -3.88725392E-01
      -1       1      63    1.00000000E+00 -3.87334828E-01  8.18201159E-01  4.24874799E-01
      -1       1      64    1.00000000E+00 -8.41945089E-01  8.85453983E-02 -5.32248232E-01
      -1       1      65    1.00000000E+00 -4.18155289E-01  9.00057971E-01 -1.22645027E-01
      -1       1      66    1.00000000E+00 -8.72803188E-01  1.61056331E-02  4.87806522E-01
      -1       1      67    1.00000000E+00 -5.81933348E-01  4.02425760E-01  7.06687403E-01
      -1       1      68    1.00000000E+00 -4.00748874E-01 -4.88062793E-02  9.14887035E-01
      -1       1      69    1.00000000E+00  2.71098916E-01 -7.32924775E-01  6.23960457E-01
      -1       1      70    1.00000000E+00  6.34998177E-01  3.77161874E-01 -6.74185609E-01
      -1       1      71    1.00000000E+00  6.05224968E-01 -1.27866174E-01 -7.85718130E-01
      -1       1      72    1.00000000E+00  6.89672493E-01 -1.32408066E-02 -7.24000368E-01
      -1       1      73    1.00000000E+00  6.94737925E-01 -6.84208429E-01  2.21806314E-01
      -1       1      74    1.00000000E+00  1.28307013E-01 -8.19290134E-01  5.58838963E-01
      -1       1      75    1.00000000E+00  2.52051463E-01 -9.63807337E-01 -8.68647088E-02
      -1       1      76    1.00000000E+00  5.85635103E-01 -6.98131874E-01 -4.11877910E-01
      -1       1      77    1.00000000E+00  3.44499852E-01 -5.53769837E-01 -7.58062544E-01
      -1       1      78    1.00000000E+00  7.39994156E-01  1.71345220E-01 -6.50422528E-01
      -1       1      79    1.00000000E+00  7.85848358E-01  6.14142038E-01 -7.26079541E-02
      -1       1      80    1.00000000E+00  9.30825227E-01  2.83377407E-01 -2.30784841E-01
      -1       1      81    1.00000000E+00  8.94731259E-01  4.39274005E-01  8.05873574E-02
      -1       1      82    1.00000000E+00  8.04598341E-01  2.49968952E-01 -5.38643697E-01
      -1       1      83    1.00000000E+00  4.31813891E-01  8.85196998E-01 -1.73098347E-01
      -1       1      84    1.00000000E+00  6.06899377E-01  7.56926373E-01 -2.42354310E-01
      -1       1      85    1.00000000E+00 -8.37737234E-01  3.68440312E-01  4.03048461E-01
      -1       1      86    1.00000000E+00 -3.61892676E-01 -1.43782561E-01  9.21064746E-01
      -1       1      87    1.00000000E+00 -3.77084634E-01 -1.22678717E-01  9.18018034E-01
      -1       1      88    1.00000000E+00 -6.47440750E-01 -6.40817342E-02  7.59416886E-01
      -1       1      89    1.00000000E+00  3.24043056E-01 -9.19174523E-01  2.23862223E-01
      -1       1      90    1.00000000E+00  4.65635522E-01 -4.43462831E-01  7.65848730E-01
      -1       1      91    1.00000000E+00  7.95081545E-01 -5.86797099E-01 -1.53344390E-01
      -1       1      92    1.00000000E+00  3.89513805E-01 -8.00319718E-01  4.55815034E-01
      -1       1      93    1.00000000E+00  7.11832594E-01 -6.86153926E-01 -1.49957158E-01
      -1       1      94    1.00000000E+00  2.31406576E-01 -9.67754554E-01 -9.95093982E-02
      -1       1      95    1.00000000E+00  2.68303451E-01 -5.67437703E-01 -7.78477817E-01
      -1       1      96    1.00000000E+00  8.72811499E-02 -1.98677134E-01 -9.76170783E-01
      -1       1      97    1.00000000E+00  1.79703343E-01  2.92642738E-01 -9.39184187E-01
      -1       1      98    1.00000000E+00 -5.08426367E-01  6.72398211E-02 -8.58476229E-01
      -1       1      99    1.00000000E+00  6.58515653E-01  6.43556350E-01 -3.90118392E-01
      -1       1     100    1.00000000E+00  3.22103257E-01  7.96160287E-01 -5.12228746E-01
