#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.183462  0.414826  0.190173
    9011  0.183766  0.414857  0.190175
    9021  0.184088  0.414892  0.190182
    9031  0.184308  0.414934  0.190189
    9041  0.184465  0.414981  0.190195
    9051  0.184637  0.415035  0.190199
    9061  0.184654  0.415090  0.190201
    9071  0.184737  0.415150  0.190201
    9081  0.184898  0.415216  0.190199
    9091  0.185135  0.415286  0.190199
    9101  0.185237  0.415361  0.190197
    9111  0.185389  0.415441  0.190193
    9121  0.185462  0.415524  0.190187
    9131  0.185384  0.415606  0.190179
    9141  0.185264  0.415686  0.190169
    9151  0.185267  0.415766  0.190157
    9161  0.185165  0.415845  0.190143
    9171  0.184907  0.415916  0.190131
    9181  0.184613  0.415980  0.190123
    9191  0.184293  0.416036  0.190119
    9201  0.184163  0.416090  0.190115
    9211  0.184057  0.416141  0.190108
    9221  0.183985  0.416192  0.190099
    9231  0.183920  0.416242  0.190089
    9241  0.183889  0.416293  0.190075
    9251  0.183823  0.416343  0.190060
    9261  0.183809  0.416394  0.190043
    9271  0.183669  0.416442  0.190024
    9281  0.183635  0.416490  0.190004
    9291  0.183633  0.416540  0.189981
    9301  0.183684  0.416593  0.189956
    9311  0.183631  0.416646  0.189929
    9321  0.183603  0.416699  0.189901
    9331  0.183499  0.416750  0.189871
    9341  0.183457  0.416801  0.189839
    9351  0.183459  0.416854  0.189806
    9361  0.183320  0.416904  0.189771
    9371  0.183326  0.416956  0.189735
    9381  0.183100  0.417002  0.189701
    9391  0.183103  0.417050  0.189665
    9401  0.183261  0.417102  0.189628
    9411  0.183566  0.417156  0.189596
    9421  0.183866  0.417211  0.189568
    9431  0.184175  0.417269  0.189545
    9441  0.184539  0.417324  0.189528
    9451  0.184925  0.417375  0.189520
    9461  0.185193  0.417430  0.189514
    9471  0.185290  0.417488  0.189506
    9481  0.185385  0.417549  0.189497
    9491  0.185426  0.417612  0.189487
    9501  0.185488  0.417678  0.189474
    9511  0.185607  0.417748  0.189461
    9521  0.185583  0.417817  0.189445
    9531  0.185510  0.417886  0.189429
    9541  0.185374  0.417952  0.189411
    9551  0.185209  0.418014  0.189394
