################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       441
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1       1    1.00000000E+00  3.70552697E-01  3.49767555E-01 -8.60437886E-01
      -1       1       2    1.00000000E+00 -4.71144104E-01  1.51081322E-01 -8.69021097E-01
      -1       1       3    1.00000000E+00  1.25027255E-01 -4.80971405E-01 -8.67775716E-01
      -1       1       4    1.00000000E+00  3.65363313E-01  3.47373502E-01 -8.63621039E-01
      -1       1       5    1.00000000E+00 -4.67797846E-01  1.34677211E-01 -8.73514295E-01
      -1       1       6    1.00000000E+00  1.01865930E-01 -4.89268704E-01 -8.66163649E-01
      -1       1       7    1.00000000E+00  3.56494576E-01  3.34032589E-01 -8.72544467E-01
      -1       1       8    1.00000000E+00 -4.80549259E-01  1.46786566E-01 -8.64595925E-01
      -1       1       9    1.00000000E+00  1.31648223E-01 -4.86200758E-01 -8.63873583E-01
      -1       1      10    1.00000000E+00  3.49885113E-01  3.47857260E-01 -8.69813621E-01
      -1       1      11    1.00000000E+00 -4.90557571E-01  1.39948856E-01 -8.60097429E-01
      -1       1      12    1.00000000E+00  1.32956630E-01 -4.74550075E-01 -8.70129163E-01
      -1       1      13    1.00000000E+00  3.53282580E-01  3.49756229E-01 -8.67676206E-01
      -1       1      14    1.00000000E+00 -4.71512582E-01  1.50310726E-01 -8.68954873E-01
      -1       1      15    1.00000000E+00  1.22771671E-01 -4.88782365E-01 -8.63723866E-01
      -1       1      16    1.00000000E+00  3.65549340E-01  3.31261257E-01 -8.69850366E-01
      -1       1      17    1.00000000E+00 -4.89836909E-01  1.37802257E-01 -8.60854425E-01
      -1       1      18    1.00000000E+00  1.24973561E-01 -4.94440511E-01 -8.60180324E-01
      -1       1      19    1.00000000E+00  3.73332057E-01  3.49929997E-01 -8.59169466E-01
      -1       1      20    1.00000000E+00 -4.87013157E-01  1.36539721E-01 -8.62655835E-01
      -1       1      21    1.00000000E+00  1.13437646E-01 -4.94478626E-01 -8.61755644E-01
      -1       1      22    1.00000000E+00 -4.69936168E-01  1.45567174E-01 -8.70614838E-01
      -1       1      23    1.00000000E+00  1.12274238E-01 -4.77423424E-01 -8.71470808E-01
      -1       1      24    1.00000000E+00  3.76005044E-01  3.48721558E-01 -8.58494893E-01
      -1       1      25    1.00000000E+00 -4.67264030E-01  1.45056114E-01 -8.72137059E-01
      -1       1      26    1.00000000E+00  1.26057607E-01 -4.84398173E-01 -8.65718135E-01
      -1       1      27    1.00000000E+00  3.63293238E-01  3.39743722E-01 -8.67520736E-01
      -1       1      28    1.00000000E+00 -4.77646481E-01  1.39105950E-01 -8.67469523E-01
      -1       1      29    1.00000000E+00  1.20665223E-01 -4.87656821E-01 -8.64656423E-01
      -1       1      30    1.00000000E+00  3.68098246E-01  3.64798717E-01 -8.55234224E-01
      -1       1      31    1.00000000E+00 -4.82647555E-01  1.30468788E-01 -8.66042281E-01
      -1       1      32    1.00000000E+00  1.29108183E-01 -4.85694767E-01 -8.64541306E-01
      -1       1      33    1.00000000E+00  3.62290615E-01  3.67065567E-01 -8.56742890E-01
      -1       1      34    1.00000000E+00 -4.92954600E-01  1.35781902E-01 -8.59394576E-01
      -1       1      35    1.00000000E+00  1.22509094E-01 -4.82997509E-01 -8.67009186E-01
      -1       1      36    1.00000000E+00  3.77609419E-01  3.57870725E-01 -8.54013859E-01
      -1       1      37    1.00000000E+00 -4.91342345E-01  1.27922551E-01 -8.61521051E-01
      -1       1      38    1.00000000E+00  1.16348149E-01 -4.87721366E-01 -8.65211522E-01
      -1       1      39    1.00000000E+00  3.72575640E-01  3.47470992E-01 -8.60494800E-01
      -1       1      40    1.00000000E+00 -4.74198348E-01  1.34097572E-01 -8.70145831E-01
      -1       1      41    1.00000000E+00  1.30958436E-01 -4.76071000E-01 -8.69601225E-01
      -1       1      42    1.00000000E+00  3.58665366E-01  3.35037048E-01 -8.71268806E-01
      -1       1      43    1.00000000E+00  1.11377711E-01 -4.80337957E-01 -8.69983019E-01
      -1       1      44    1.00000000E+00  3.62629387E-01  3.27267598E-01 -8.72579995E-01
      -1       1      45    1.00000000E+00 -4.67522372E-01  1.32788521E-01 -8.73950823E-01
      -1       1      46    1.00000000E+00  1.26878079E-01 -4.78031585E-01 -8.69130460E-01
      -1       1      47    1.00000000E+00  3.72652026E-01  3.41136854E-01 -8.62992534E-01
      -1       1      48    1.00000000E+00 -4.63136696E-01  1.34409043E-01 -8.76035736E-01
      -1       1      49    1.00000000E+00  1.43844383E-01 -4.84207682E-01 -8.63047921E-01
      -1       1      50    1.00000000E+00  3.62741471E-01  3.59702234E-01 -8.59670244E-01
      -1       1      51    1.00000000E+00 -4.91582628E-01  1.33348816E-01 -8.60560639E-01
      -1       1      52    1.00000000E+00  1.36388698E-01 -4.97933450E-01 -8.56423028E-01
      -1       1      53    1.00000000E+00  3.60970534E-01  3.46257016E-01 -8.65913594E-01
      -1       1      54    1.00000000E+00 -4.96625235E-01  1.41288589E-01 -8.56388294E-01
      -1       1      55    1.00000000E+00  1.26191066E-01 -4.84015666E-01 -8.65912611E-01
      -1       1      56    1.00000000E+00  3.53963910E-01  3.57455477E-01 -8.64254090E-01
      -1       1      57    1.00000000E+00 -4.83417133E-01  1.42086556E-01 -8.63781967E-01
      -1       1      58    1.00000000E+00  1.36660265E-01 -4.97159938E-01 -8.56829019E-01
      -1       1      59    1.00000000E+00  3.55583379E-01  3.54576849E-01 -8.64774952E-01
      -1       1      60    1.00000000E+00 -4.78203790E-01  1.40616349E-01 -8.66918784E-01
      -1       1      61    1.00000000E+00  1.21873611E-01 -4.85961954E-01 -8.65440814E-01
      -1       1      62    1.00000000E+00  3.53251664E-01  3.60579907E-01 -8.63247005E-01
      -1       1      63    1.00000000E+00 -4.79466974E-01  1.39781689E-01 -8.66355874E-01
      -1       1      64    1.00000000E+00  3.45612222E-01  3.52767280E-01 -8.69544386E-01
      -1       1      65    1.00000000E+00 -4.58740186E-01  1.32733938E-01 -8.78600673E-01
      -1       1      66    1.00000000E+00  1.11092495E-01 -4.75586667E-01 -8.72625796E-01
      -1       1      67    1.00000000E+00  3.52731960E-01  3.45381159E-01 -8.69650515E-01
      -1       1      68    1.00000000E+00 -4.75691456E-01  1.50262930E-01 -8.66682578E-01
      -1       1      69    1.00000000E+00  1.29188349E-01 -4.98656064E-01 -8.57118720E-01
      -1       1      70    1.00000000E+00  3.74873958E-01  3.38180669E-01 -8.63193692E-01
