   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.29684891E-06 -2.91860092E-06  6.39378858E-01  6.39378858E-01  0.00000000E+00
     100 -7.94059839E-06 -3.36414292E-06  6.39382898E-01  6.39382898E-01  0.00000000E+00
     200  9.46635793E-06 -3.03189672E-06  6.39386179E-01  6.39386179E-01  0.00000000E+00
     300 -5.61849660E-06 -1.04065215E-06  6.39379210E-01  6.39379210E-01  0.00000000E+00
     400  1.28216746E-06 -6.18540134E-07  6.39378817E-01  6.39378817E-01  0.00000000E+00
     500  3.88510262E-06  2.17557303E-06  6.39383221E-01  6.39383221E-01  0.00000000E+00
     600 -2.79964266E-06  9.53760906E-06  6.39382534E-01  6.39382534E-01  0.00000000E+00
     700  7.16557367E-06 -6.34294279E-06  6.39389291E-01  6.39389291E-01  0.00000000E+00
     800 -2.63584663E-06  4.33258725E-06  6.39385653E-01  6.39385653E-01  0.00000000E+00
     900 -7.82445488E-07 -2.89850262E-06  6.39388776E-01  6.39388776E-01  0.00000000E+00
    1000  4.98138531E-06 -4.29558535E-06  6.39391645E-01  6.39391645E-01  0.00000000E+00
    1100 -1.73980357E-06 -7.53073593E-07  6.39384739E-01  6.39384739E-01  0.00000000E+00
    1200 -7.15211649E-07 -6.04486506E-07  6.39377704E-01  6.39377704E-01  0.00000000E+00
    1300 -3.99027303E-06 -4.61540679E-07  6.39385288E-01  6.39385288E-01  0.00000000E+00
    1400  5.33950361E-06  5.85357594E-06  6.39392455E-01  6.39392455E-01  0.00000000E+00
    1500  1.40061898E-06 -4.33771622E-06  6.39391430E-01  6.39391430E-01  0.00000000E+00
    1600 -2.48706502E-06 -3.71047771E-06  6.39387656E-01  6.39387656E-01  0.00000000E+00
    1700 -5.90518662E-07  9.00773205E-07  6.39391774E-01  6.39391774E-01  0.00000000E+00
    1800 -2.76706849E-06  3.16446274E-06  6.39387496E-01  6.39387496E-01  0.00000000E+00
    1900 -5.28121505E-07 -9.37421041E-06  6.39387212E-01  6.39387212E-01  0.00000000E+00
    2000  5.60488145E-06  1.34197791E-06  6.39390486E-01  6.39390486E-01  0.00000000E+00
    2100  4.06450373E-06 -4.85711013E-06  6.39393254E-01  6.39393254E-01  0.00000000E+00
    2200 -1.39052734E-06 -1.87378087E-06  6.39395979E-01  6.39395979E-01  0.00000000E+00
    2300 -4.06908855E-06  2.32863899E-06  6.39395460E-01  6.39395460E-01  0.00000000E+00
    2400 -7.85074237E-07 -3.51631175E-06  6.39395181E-01  6.39395181E-01  0.00000000E+00
    2500  1.93223827E-06 -1.18906135E-06  6.39393802E-01  6.39393802E-01  0.00000000E+00
    2600  2.32074415E-06 -1.02507568E-06  6.39384413E-01  6.39384413E-01  0.00000000E+00
    2700  2.75014524E-08 -5.84796467E-06  6.39390100E-01  6.39390100E-01  0.00000000E+00
    2800 -5.61817764E-06  4.31282220E-06  6.39396530E-01  6.39396531E-01  0.00000000E+00
    2900 -2.91404677E-06 -5.42485953E-06  6.39408371E-01  6.39408371E-01  0.00000000E+00
    3000 -6.58650914E-06 -7.83421883E-07  6.39421315E-01  6.39421315E-01  0.00000000E+00
    3100 -1.89786711E-06 -1.29983682E-06  6.39422613E-01  6.39422613E-01  0.00000000E+00
    3200 -2.09869589E-06 -4.70806448E-06  6.39416940E-01  6.39416940E-01  0.00000000E+00
    3300 -3.25854917E-06 -9.36668213E-07  6.39417308E-01  6.39417308E-01  0.00000000E+00
    3400 -1.81460221E-06  9.11554963E-07  6.39415776E-01  6.39415776E-01  0.00000000E+00
    3500  1.33705229E-06  2.85671906E-06  6.39411999E-01  6.39411999E-01  0.00000000E+00
    3600 -1.32039628E-06  1.22619205E-06  6.39416023E-01  6.39416023E-01  0.00000000E+00
    3700 -2.67649358E-06  7.84131300E-06  6.39411718E-01  6.39411718E-01  0.00000000E+00
    3800  7.23817691E-07 -3.69645102E-06  6.39404743E-01  6.39404743E-01  0.00000000E+00
    3900  6.04787706E-07  1.99021048E-06  6.39399171E-01  6.39399171E-01  0.00000000E+00
    4000 -6.84708959E-07  5.21680009E-06  6.39405940E-01  6.39405940E-01  0.00000000E+00
    4100  3.18805158E-07 -7.58942350E-07  6.39402596E-01  6.39402596E-01  0.00000000E+00
    4200 -4.14569861E-07  1.29945167E-06  6.39404278E-01  6.39404278E-01  0.00000000E+00
    4300  4.57228169E-07 -3.91297134E-06  6.39403630E-01  6.39403630E-01  0.00000000E+00
    4400 -1.19226402E-06  4.29039861E-07  6.39405044E-01  6.39405044E-01  0.00000000E+00
    4500  2.33674914E-06  2.44514168E-06  6.39400472E-01  6.39400473E-01  0.00000000E+00
    4600 -2.71189195E-06 -4.35039652E-06  6.39405316E-01  6.39405316E-01  0.00000000E+00
    4700 -5.43921086E-07 -4.00116188E-06  6.39406780E-01  6.39406780E-01  0.00000000E+00
    4800 -7.61533137E-07  5.75955859E-06  6.39414118E-01  6.39414118E-01  0.00000000E+00
    4900 -1.44564079E-06 -5.04367120E-06  6.39426096E-01  6.39426096E-01  0.00000000E+00
    5000 -2.73132662E-06  1.73808082E-06  6.39430764E-01  6.39430764E-01  0.00000000E+00
    5100  4.25602975E-06 -2.97253495E-06  6.39438027E-01  6.39438027E-01  0.00000000E+00
    5200  7.48443935E-07  1.91110071E-06  6.39427192E-01  6.39427192E-01  0.00000000E+00
    5300 -1.66713798E-07  3.19376572E-06  6.39437804E-01  6.39437804E-01  0.00000000E+00
    5400 -1.76642692E-06 -3.45844613E-07  6.39440008E-01  6.39440008E-01  0.00000000E+00
    5500 -5.48656072E-06 -2.65285304E-07  6.39438955E-01  6.39438955E-01  0.00000000E+00
    5600  1.82574709E-06  9.47052943E-07  6.39445361E-01  6.39445361E-01  0.00000000E+00
    5700 -5.67747052E-06 -5.54181459E-06  6.39451649E-01  6.39451649E-01  0.00000000E+00
    5800  1.46697317E-06 -2.68395669E-07  6.39446857E-01  6.39446857E-01  0.00000000E+00
    5900 -6.20118808E-06 -2.46824438E-07  6.39452520E-01  6.39452520E-01  0.00000000E+00
    6000  9.97461574E-08  3.81680480E-08  6.39456617E-01  6.39456617E-01  0.00000000E+00
    6100 -9.84072038E-07  8.28918545E-07  6.39453291E-01  6.39453291E-01  0.00000000E+00
    6200 -3.55487695E-06  2.32099937E-06  6.39458506E-01  6.39458506E-01  0.00000000E+00
    6300 -4.70141686E-06 -3.74392897E-06  6.39452180E-01  6.39452180E-01  0.00000000E+00
    6400  4.28375385E-06 -2.42701588E-06  6.39459998E-01  6.39459998E-01  0.00000000E+00
    6500  4.71464713E-07  2.44116012E-06  6.39456662E-01  6.39456662E-01  0.00000000E+00
    6600 -4.32735300E-06  3.75970409E-06  6.39462735E-01  6.39462735E-01  0.00000000E+00
    6700  6.72909577E-06 -4.70600740E-06  6.39459217E-01  6.39459217E-01  0.00000000E+00
    6800 -6.96773306E-06  5.28427029E-06  6.39448832E-01  6.39448833E-01  0.00000000E+00
    6900  5.35143493E-07  1.99283254E-06  6.39454953E-01  6.39454953E-01  0.00000000E+00
    7000 -6.30142806E-07  5.01399528E-06  6.39455979E-01  6.39455979E-01  0.00000000E+00
    7100 -3.67776451E-06 -2.66898633E-08  6.39462896E-01  6.39462896E-01  0.00000000E+00
    7200  5.38776352E-07 -6.50823261E-06  6.39459760E-01  6.39459760E-01  0.00000000E+00
    7300  1.52899543E-06  1.67251531E-06  6.39456453E-01  6.39456453E-01  0.00000000E+00
    7400  4.79585595E-06 -4.71475965E-06  6.39452995E-01  6.39452995E-01  0.00000000E+00
