################################################################################
# File type: R
# Simulation type: S
# Number of atoms:       441
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
   19999       1       1    1.00000000E+00 -6.57400433E-01  3.98788318E-01  6.39368867E-01
   19999       1       2    1.00000000E+00 -1.67229668E-02 -7.68734991E-01  6.39348774E-01
   19999       1       3    1.00000000E+00  6.74022938E-01  3.69920924E-01  6.39415036E-01
   19999       1       4    1.00000000E+00 -6.57286267E-01  3.98770010E-01  6.39497648E-01
   19999       1       5    1.00000000E+00 -1.65903720E-02 -7.68611968E-01  6.39500119E-01
   19999       1       6    1.00000000E+00  6.73981491E-01  3.70013715E-01  6.39405036E-01
   19999       1       7    1.00000000E+00 -6.57300133E-01  3.98761268E-01  6.39488848E-01
   19999       1       8    1.00000000E+00 -1.66466883E-02 -7.68634609E-01  6.39471443E-01
   19999       1       9    1.00000000E+00  6.74070704E-01  3.69978168E-01  6.39331558E-01
   19999       1      10    1.00000000E+00 -6.57347893E-01  3.98800194E-01  6.39415478E-01
   19999       1      11    1.00000000E+00 -1.64884117E-02 -7.68671236E-01  6.39431516E-01
   19999       1      12    1.00000000E+00  6.74043878E-01  3.69892232E-01  6.39409562E-01
   19999       1      13    1.00000000E+00 -6.57342269E-01  3.98795552E-01  6.39424154E-01
   19999       1      14    1.00000000E+00 -1.67678438E-02 -7.68637462E-01  6.39464848E-01
   19999       1      15    1.00000000E+00  6.74050046E-01  3.70035379E-01  6.39320228E-01
   19999       1      16    1.00000000E+00 -6.57428925E-01  3.98787801E-01  6.39339893E-01
   19999       1      17    1.00000000E+00 -1.66950031E-02 -7.68705767E-01  6.39384642E-01
   19999       1      18    1.00000000E+00  6.73936576E-01  3.69927647E-01  6.39502172E-01
   19999       1      19    1.00000000E+00 -6.57406697E-01  3.98660872E-01  6.39441901E-01
   19999       1      20    1.00000000E+00 -1.67735518E-02 -7.68772920E-01  6.39301842E-01
   19999       1      21    1.00000000E+00  6.74033286E-01  3.69974614E-01  6.39373063E-01
   19999       1      22    1.00000000E+00 -1.67600557E-02 -7.68784893E-01  6.39287798E-01
   19999       1      23    1.00000000E+00  6.74041187E-01  3.69896853E-01  6.39409725E-01
   19999       1      24    1.00000000E+00 -6.57402993E-01  3.98747907E-01  6.39391439E-01
   19999       1      25    1.00000000E+00 -1.66805336E-02 -7.68681567E-01  6.39414113E-01
   19999       1      26    1.00000000E+00  6.74003204E-01  3.69991418E-01  6.39395051E-01
   19999       1      27    1.00000000E+00 -6.57439095E-01  3.98706474E-01  6.39380157E-01
   19999       1      28    1.00000000E+00 -1.65313681E-02 -7.68585932E-01  6.39532938E-01
   19999       1      29    1.00000000E+00  6.74112905E-01  3.69862907E-01  6.39353752E-01
   19999       1      30    1.00000000E+00 -6.57501790E-01  3.98622951E-01  6.39367765E-01
   19999       1      31    1.00000000E+00 -1.66348996E-02 -7.68721003E-01  6.39367891E-01
   19999       1      32    1.00000000E+00  6.74107001E-01  3.69961008E-01  6.39303217E-01
   19999       1      33    1.00000000E+00 -6.57294777E-01  3.98850875E-01  6.39438469E-01
   19999       1      34    1.00000000E+00 -1.67121334E-02 -7.68656296E-01  6.39443667E-01
   19999       1      35    1.00000000E+00  6.74124562E-01  3.69872024E-01  6.39336188E-01
   19999       1      36    1.00000000E+00 -6.57317951E-01  3.98714120E-01  6.39499931E-01
   19999       1      37    1.00000000E+00 -1.65873481E-02 -7.68707852E-01  6.39384938E-01
   19999       1      38    1.00000000E+00  6.74044993E-01  3.69884800E-01  6.39412685E-01
   19999       1      39    1.00000000E+00 -6.57353308E-01  3.98694752E-01  6.39475663E-01
   19999       1      40    1.00000000E+00 -1.66578380E-02 -7.68744701E-01  6.39338800E-01
   19999       1      41    1.00000000E+00  6.74027348E-01  3.69995838E-01  6.39367041E-01
   19999       1      42    1.00000000E+00 -6.57499373E-01  3.98805458E-01  6.39256429E-01
