   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -6.72900240E-05  5.48245507E-05 -1.97174757E-02  1.97176667E-02  0.00000000E+00
    1000 -7.89458220E-05  1.29038871E-04  2.75889308E-03  2.76303719E-03  0.00000000E+00
    2000  4.01386573E-04  2.77758384E-04  5.34781918E-03  5.37004943E-03  0.00000000E+00
    3000 -2.47655750E-05 -6.90732245E-05  2.59364665E-02  2.59365703E-02  0.00000000E+00
    4000 -6.15685704E-05  3.08974806E-04 -1.52639464E-02  1.52671974E-02  0.00000000E+00
    5000 -2.44637253E-04  2.50741072E-04  1.54120682E-02  1.54160489E-02  0.00000000E+00
    6000 -1.77730921E-04  1.05949873E-04 -6.90822831E-03  6.91132636E-03  0.00000000E+00
    7000  7.32974755E-05  2.88919593E-04 -2.23447643E-02  2.23467523E-02  0.00000000E+00
    8000 -4.57163134E-05 -1.12107062E-04 -2.43620832E-02  2.43623840E-02  0.00000000E+00
    9000  1.17342444E-04 -3.64115114E-04  2.04277075E-04  4.33679823E-04  0.00000000E+00
   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
