#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.856686  0.665197  0.097101
    9011  0.856665  0.665197  0.097091
    9021  0.856684  0.665197  0.097079
    9031  0.856698  0.665197  0.097067
    9041  0.856757  0.665197  0.097053
    9051  0.856798  0.665198  0.097040
    9061  0.856690  0.665198  0.097028
    9071  0.856692  0.665198  0.097015
    9081  0.856692  0.665198  0.097000
    9091  0.856648  0.665198  0.096985
    9101  0.856747  0.665199  0.096972
    9111  0.856807  0.665199  0.096958
    9121  0.856798  0.665199  0.096944
    9131  0.856659  0.665199  0.096933
    9141  0.856497  0.665199  0.096929
    9151  0.856547  0.665199  0.096925
    9161  0.856472  0.665199  0.096921
    9171  0.856405  0.665199  0.096916
    9181  0.856324  0.665199  0.096913
    9191  0.856395  0.665199  0.096909
    9201  0.856367  0.665199  0.096905
    9211  0.856399  0.665199  0.096899
    9221  0.856450  0.665200  0.096893
    9231  0.856478  0.665200  0.096886
    9241  0.856463  0.665200  0.096877
    9251  0.856530  0.665200  0.096869
    9261  0.856541  0.665200  0.096860
    9271  0.856554  0.665200  0.096850
    9281  0.856564  0.665200  0.096838
    9291  0.856544  0.665200  0.096826
    9301  0.856552  0.665201  0.096812
    9311  0.856584  0.665201  0.096798
    9321  0.856678  0.665201  0.096785
    9331  0.856720  0.665201  0.096771
    9341  0.856812  0.665201  0.096759
    9351  0.856875  0.665201  0.096747
    9361  0.856876  0.665202  0.096734
    9371  0.856938  0.665202  0.096721
    9381  0.856884  0.665202  0.096707
    9391  0.856691  0.665202  0.096703
    9401  0.856720  0.665202  0.096698
    9411  0.856758  0.665202  0.096692
    9421  0.856604  0.665202  0.096691
    9431  0.856526  0.665202  0.096691
    9441  0.856515  0.665202  0.096690
    9451  0.856587  0.665202  0.096689
    9461  0.856437  0.665202  0.096693
    9471  0.856310  0.665202  0.096700
    9481  0.856336  0.665202  0.096706
    9491  0.856338  0.665202  0.096710
    9501  0.856352  0.665202  0.096714
    9511  0.856382  0.665202  0.096717
    9521  0.856427  0.665202  0.096719
    9531  0.856390  0.665202  0.096721
    9541  0.856404  0.665202  0.096722
    9551  0.856341  0.665202  0.096722
    9561  0.856398  0.665202  0.096722
    9571  0.856391  0.665202  0.096722
    9581  0.856409  0.665202  0.096720
    9591  0.856470  0.665202  0.096718
    9601  0.856393  0.665202  0.096717
    9611  0.856307  0.665202  0.096717
    9621  0.856281  0.665202  0.096716
    9631  0.856304  0.665202  0.096714
    9641  0.856391  0.665202  0.096713
    9651  0.856438  0.665202  0.096712
    9661  0.856424  0.665202  0.096710
    9671  0.856450  0.665202  0.096707
    9681  0.856410  0.665202  0.096703
    9691  0.856471  0.665202  0.096700
    9701  0.856507  0.665202  0.096696
    9711  0.856587  0.665202  0.096692
    9721  0.856647  0.665202  0.096689
    9731  0.856644  0.665202  0.096685
    9741  0.856683  0.665202  0.096680
    9751  0.856745  0.665202  0.096675
    9761  0.856764  0.665202  0.096670
    9771  0.856765  0.665202  0.096664
    9781  0.856759  0.665202  0.096657
    9791  0.856845  0.665203  0.096651
    9801  0.856827  0.665203  0.096644
    9811  0.856902  0.665203  0.096638
    9821  0.856913  0.665203  0.096631
    9831  0.856959  0.665203  0.096623
    9841  0.857019  0.665203  0.096616
    9851  0.856999  0.665203  0.096609
    9861  0.857053  0.665203  0.096601
    9871  0.856958  0.665203  0.096594
    9881  0.856947  0.665203  0.096587
    9891  0.857006  0.665204  0.096580
    9901  0.856905  0.665204  0.096575
    9911  0.856934  0.665204  0.096569
    9921  0.856922  0.665204  0.096562
    9931  0.856755  0.665204  0.096561
    9941  0.856696  0.665204  0.096560
    9951  0.856685  0.665204  0.096558
    9961  0.856612  0.665204  0.096557
    9971  0.856584  0.665204  0.096555
    9981  0.856523  0.665204  0.096554
    9991  0.856510  0.665204  0.096551
    9001  0.940360  0.665417  0.523999
    9011  0.940377  0.665415  0.524857
    9021  0.940428  0.665414  0.525697
    9031  0.940463  0.665412  0.526518
    9041  0.940495  0.665410  0.527319
    9051  0.940502  0.665409  0.528100
    9061  0.940488  0.665407  0.528861
    9071  0.940466  0.665405  0.529603
    9081  0.940500  0.665404  0.530327
    9091  0.940509  0.665402  0.531033
    9101  0.940536  0.665401  0.531721
    9111  0.940530  0.665400  0.532391
    9121  0.940500  0.665398  0.533045
    9131  0.940499  0.665397  0.533682
    9141  0.940422  0.665396  0.534310
    9151  0.940412  0.665394  0.534921
    9161  0.940460  0.665393  0.535519
    9171  0.940459  0.665392  0.536101
    9181  0.940482  0.665391  0.536668
    9191  0.940515  0.665389  0.537221
    9201  0.940515  0.665388  0.537759
    9211  0.940544  0.665387  0.538283
    9221  0.940590  0.665386  0.538795
    9231  0.940628  0.665385  0.539295
    9241  0.940685  0.665384  0.539786
    9251  0.940766  0.665383  0.540271
    9261  0.940773  0.665382  0.540744
    9271  0.940797  0.665381  0.541203
    9281  0.940811  0.665380  0.541649
    9291  0.940856  0.665379  0.542085
    9301  0.940892  0.665379  0.542511
    9311  0.940937  0.665378  0.542926
    9321  0.940942  0.665377  0.543329
    9331  0.940946  0.665376  0.543720
    9341  0.940989  0.665375  0.544102
    9351  0.940993  0.665375  0.544472
    9361  0.941032  0.665374  0.544832
    9371  0.941079  0.665373  0.545185
    9381  0.941140  0.665372  0.545531
    9391  0.941196  0.665372  0.545870
    9401  0.941248  0.665371  0.546203
    9411  0.941287  0.665371  0.546526
    9421  0.941321  0.665370  0.546841
    9431  0.941349  0.665369  0.547146
    9441  0.941340  0.665369  0.547442
    9451  0.941409  0.665368  0.547734
    9461  0.941455  0.665368  0.548018
    9471  0.941486  0.665367  0.548295
    9481  0.941528  0.665367  0.548564
    9491  0.941556  0.665366  0.548824
    9501  0.941565  0.665366  0.549076
    9511  0.941569  0.665365  0.549318
    9521  0.941560  0.665365  0.549552
    9531  0.941498  0.665364  0.549782
    9541  0.941480  0.665364  0.550004
    9551  0.941508  0.665364  0.550218
    9561  0.941542  0.665363  0.550426
    9571  0.941562  0.665363  0.550625
    9581  0.941556  0.665362  0.550817
    9591  0.941560  0.665362  0.551001
    9601  0.941579  0.665362  0.551177
    9611  0.941629  0.665362  0.551349
    9621  0.941681  0.665361  0.551516
    9631  0.941747  0.665361  0.551682
    9641  0.941793  0.665361  0.551843
    9651  0.941837  0.665360  0.551999
    9661  0.941897  0.665360  0.552152
    9671  0.941946  0.665360  0.552301
