################################################################################
# File type: M
# Simulation type: H
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
       0       1       1    1.00000000E+00  7.76957835E-01  6.29233036E-01 -2.00576440E-02
       0       1       2    1.00000000E+00 -8.36722053E-01  5.47543713E-01 -9.59622862E-03
       0       1       3    1.00000000E+00 -2.54503085E-01 -9.67071957E-01 -9.78671898E-05
       0       1       4    1.00000000E+00  9.98514331E-01  5.42163885E-02 -5.45101189E-03
       0       1       5    1.00000000E+00 -3.62481435E-01  9.31689801E-01 -2.36922733E-02
       0       1       6    1.00000000E+00 -7.70034651E-01 -6.37785978E-01 -1.66036872E-02
       0       1       7    1.00000000E+00  8.41421606E-01 -5.40242664E-01 -1.21468266E-02
       0       1       8    1.00000000E+00  2.53824867E-01  9.67245638E-01 -2.96864906E-03
       0       1       9    1.00000000E+00 -9.97123293E-01 -7.23470957E-02 -2.26061055E-02
       0       1      10    1.00000000E+00  3.67397168E-01 -9.29887073E-01 -1.81480762E-02
       0       1      11    1.00000000E+00  7.76214919E-01  6.29892336E-01 -2.69452152E-02
       0       1      12    1.00000000E+00 -8.45232244E-01  5.33725749E-01 -2.68193742E-02
       0       1      13    1.00000000E+00 -2.49098627E-01 -9.68454856E-01 -6.71310124E-03
       0       1      14    1.00000000E+00  9.99128390E-01  4.17425512E-02 -1.42138369E-04
       0       1      15    1.00000000E+00 -3.58584071E-01  9.33316111E-01 -1.83983965E-02
       0       1      16    1.00000000E+00 -7.77763904E-01 -6.28166782E-01 -2.21315221E-02
       0       1      17    1.00000000E+00  8.48296882E-01 -5.29377000E-01 -1.23447217E-02
       0       1      18    1.00000000E+00  2.54789963E-01  9.66905974E-01 -1.32253976E-02
       0       1      19    1.00000000E+00 -9.98050274E-01 -6.04854657E-02 -1.53999374E-02
       0       1      20    1.00000000E+00  3.62148819E-01 -9.31890206E-01 -2.07093540E-02
       0       1      21    1.00000000E+00 -9.64996963E-01  2.62260498E-01 -5.41407452E-04
       0       1      22    1.00000000E+00  4.74423662E-02 -9.98585777E-01 -2.39930692E-02
       0       1      23    1.00000000E+00  9.32019402E-01  3.62084710E-01 -1.53132858E-02
       0       1      24    1.00000000E+00 -6.29752406E-01  7.76691598E-01 -1.27306267E-02
       0       1      25    1.00000000E+00 -5.30251242E-01 -8.47777138E-01 -1.03703615E-02
       0       1      26    1.00000000E+00  9.69452298E-01 -2.44644000E-01 -1.76509107E-02
       0       1      27    1.00000000E+00 -6.31181654E-02  9.97642354E-01 -2.69412414E-02
       0       1      28    1.00000000E+00 -9.32786861E-01 -3.60013412E-01 -1.72920496E-02
       0       1      29    1.00000000E+00  6.37976767E-01 -7.69922477E-01 -1.43186527E-02
       0       1      30    1.00000000E+00  5.26591216E-01  8.50066157E-01 -9.44562369E-03
       0       1      31    1.00000000E+00 -9.68620874E-01  2.48187057E-01 -1.32961593E-02
       0       1      32    1.00000000E+00  5.61511228E-02 -9.98268007E-01 -1.75510069E-02
       0       1      33    1.00000000E+00  9.33053484E-01  3.59265700E-01 -1.84215142E-02
       0       1      34    1.00000000E+00 -6.27450060E-01  7.78602669E-01 -9.18178815E-03
       0       1      35    1.00000000E+00 -5.43809072E-01 -8.38621786E-01 -3.13877754E-02
       0       1      36    1.00000000E+00  9.65638554E-01 -2.59078939E-01 -2.05009147E-02
       0       1      37    1.00000000E+00 -5.28652445E-02  9.98231703E-01 -2.71796512E-02
       0       1      38    1.00000000E+00 -9.31454434E-01 -3.63152876E-01 -2.26412433E-02
       0       1      39    1.00000000E+00  6.34562461E-01 -7.72329726E-01 -2.89357568E-02
