################################################################################
# File type: R
# Simulation type: H
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1       1    1.00000000E+00  7.45000609E-01  6.67024219E-01 -7.26526227E-03
      -1       1       2    1.00000000E+00 -8.71018813E-01  4.90995764E-01 -1.57919921E-02
      -1       1       3    1.00000000E+00 -2.02125225E-01 -9.79268517E-01 -1.33628368E-02
      -1       1       4    1.00000000E+00  9.92236713E-01  1.23524257E-01 -1.44244147E-02
      -1       1       5    1.00000000E+00 -4.31600962E-01  9.01670597E-01 -2.66597821E-02
      -1       1       6    1.00000000E+00 -7.31362707E-01 -6.81005506E-01 -3.66072740E-02
      -1       1       7    1.00000000E+00  8.70389717E-01 -4.91778851E-01 -2.39854625E-02
      -1       1       8    1.00000000E+00  1.97315881E-01  9.79710646E-01 -3.51211100E-02
      -1       1       9    1.00000000E+00 -9.92040293E-01 -1.22391606E-01 -2.96032287E-02
      -1       1      10    1.00000000E+00  4.27792868E-01 -9.03876785E-01 -1.42485611E-04
      -1       1      11    1.00000000E+00  7.34509660E-01  6.78557765E-01 -7.41072476E-03
      -1       1      12    1.00000000E+00 -8.75829201E-01  4.82550787E-01 -8.24312847E-03
      -1       1      13    1.00000000E+00 -1.74549785E-01 -9.84577518E-01 -1.18103270E-02
      -1       1      14    1.00000000E+00  9.90664878E-01  1.35188387E-01 -1.75271038E-02
      -1       1      15    1.00000000E+00 -4.29922127E-01  9.02663855E-01 -1.91031091E-02
      -1       1      16    1.00000000E+00 -7.36599930E-01 -6.76286000E-01 -7.60185697E-03
      -1       1      17    1.00000000E+00  8.74959536E-01 -4.84176101E-01 -4.39465549E-03
      -1       1      18    1.00000000E+00  1.89010045E-01  9.81943260E-01 -7.91434842E-03
      -1       1      19    1.00000000E+00 -9.93165076E-01 -1.16611908E-01 -4.97949029E-03
      -1       1      20    1.00000000E+00  4.04208965E-01 -9.14640821E-01 -6.87611520E-03
      -1       1      21    1.00000000E+00 -9.78124129E-01  2.07894630E-01  7.28087419E-03
      -1       1      22    1.00000000E+00  1.14765636E-01 -9.93392092E-01 -1.00004725E-03
      -1       1      23    1.00000000E+00  9.05242624E-01  4.24725671E-01 -1.19956970E-02
      -1       1      24    1.00000000E+00 -6.85520320E-01  7.28053434E-01  2.97171148E-04
      -1       1      25    1.00000000E+00 -4.83734552E-01 -8.75094611E-01 -1.45018985E-02
      -1       1      26    1.00000000E+00  9.81675313E-01 -1.90108513E-01 -1.31276082E-02
      -1       1      27    1.00000000E+00 -1.24208944E-01  9.92053195E-01 -2.00648009E-02
      -1       1      28    1.00000000E+00 -9.07467099E-01 -4.19637763E-01 -2.01894097E-02
      -1       1      29    1.00000000E+00  6.92070927E-01 -7.21364234E-01 -2.59127992E-02
      -1       1      30    1.00000000E+00  4.87640039E-01  8.72865286E-01 -1.77026725E-02
      -1       1      31    1.00000000E+00 -9.80382593E-01  1.97083399E-01  2.84705403E-03
      -1       1      32    1.00000000E+00  1.23886393E-01 -9.92223072E-01 -1.20639093E-02
      -1       1      33    1.00000000E+00  9.02988684E-01  4.29662678E-01  1.19151994E-03
      -1       1      34    1.00000000E+00 -6.90621476E-01  7.22999673E-01 -1.77044955E-02
      -1       1      35    1.00000000E+00 -4.88593797E-01 -8.72493902E-01 -5.52193938E-03
      -1       1      36    1.00000000E+00  9.81475004E-01 -1.90847391E-01 -1.68549937E-02
      -1       1      37    1.00000000E+00 -1.27029285E-01  9.91827123E-01 -1.19381198E-02
      -1       1      38    1.00000000E+00 -9.06280910E-01 -4.22582569E-01 -8.88170895E-03
      -1       1      39    1.00000000E+00  6.79378191E-01 -7.33775444E-01  4.34425711E-03
      -1       1      40    1.00000000E+00  4.82593337E-01  8.75812784E-01 -7.45906485E-03
