   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.49705305E-01  8.73537990E-02 -8.10708297E-01  9.99345005E-01  5.32535699E-05
    1000 -1.40068327E-01  8.58027281E-02 -8.28100610E-01  9.99359273E-01  6.12558318E-05
    2000 -1.25058996E-01  7.48399605E-02 -8.27758266E-01  9.99363120E-01  9.59252168E-05
    3000 -1.02494444E-01  8.09588008E-02 -8.41699911E-01  9.99405091E-01  2.06731500E-05
    4000 -1.52538839E-01  3.08083822E-02 -8.29681498E-01  9.99328315E-01  1.42551140E-04
    5000 -1.53429621E-01  4.17354810E-02 -8.53137387E-01  9.99335545E-01  2.92450920E-05
    6000 -1.66886988E-01  3.58146759E-02 -8.54729065E-01  9.99346464E-01  7.76966728E-05
    7000 -9.98899882E-02 -5.77716808E-03 -8.48090100E-01  9.99294289E-01  1.30994733E-04
    8000 -1.52162914E-01 -6.87854111E-03 -8.62607092E-01  9.99256773E-01  7.54403276E-05
    9000 -9.54227822E-02 -2.95923248E-02 -8.36119202E-01  9.99404472E-01  1.22483828E-04
   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
