#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.032854  0.464368  0.035655
    9011  0.032844  0.464352  0.035654
    9021  0.032841  0.464337  0.035653
    9031  0.032809  0.464316  0.035653
    9041  0.032823  0.464296  0.035654
    9051  0.032805  0.464275  0.035654
    9061  0.032820  0.464257  0.035654
    9071  0.032821  0.464240  0.035654
    9081  0.032810  0.464222  0.035654
    9091  0.032820  0.464205  0.035654
    9101  0.032831  0.464192  0.035653
    9111  0.032810  0.464178  0.035653
    9121  0.032806  0.464164  0.035652
    9131  0.032801  0.464152  0.035651
    9141  0.032822  0.464141  0.035650
    9151  0.032827  0.464131  0.035649
    9161  0.032837  0.464119  0.035648
    9171  0.032820  0.464106  0.035647
    9181  0.032799  0.464091  0.035646
    9191  0.032808  0.464079  0.035645
    9201  0.032806  0.464068  0.035643
    9211  0.032794  0.464057  0.035642
    9221  0.032789  0.464044  0.035641
    9231  0.032811  0.464030  0.035640
    9241  0.032809  0.464018  0.035640
    9251  0.032830  0.464007  0.035639
    9261  0.032819  0.463996  0.035639
    9271  0.032802  0.463984  0.035638
    9281  0.032849  0.463970  0.035638
    9291  0.032861  0.463957  0.035638
    9301  0.032836  0.463942  0.035638
    9311  0.032837  0.463929  0.035638
    9321  0.032847  0.463918  0.035637
    9331  0.032826  0.463905  0.035637
    9341  0.032827  0.463891  0.035637
    9351  0.032834  0.463879  0.035636
    9361  0.032807  0.463865  0.035635
    9371  0.032811  0.463852  0.035635
    9381  0.032829  0.463839  0.035634
    9391  0.032800  0.463825  0.035634
    9401  0.032797  0.463812  0.035633
    9411  0.032778  0.463798  0.035633
    9421  0.032772  0.463784  0.035632
    9431  0.032768  0.463770  0.035632
    9441  0.032764  0.463757  0.035631
    9451  0.032738  0.463743  0.035630
    9461  0.032711  0.463726  0.035629
    9471  0.032708  0.463710  0.035628
    9481  0.032676  0.463691  0.035627
    9491  0.032689  0.463675  0.035626
    9501  0.032696  0.463660  0.035625
    9511  0.032730  0.463646  0.035625
    9521  0.032738  0.463633  0.035624
    9531  0.032750  0.463621  0.035623
    9541  0.032734  0.463608  0.035622
    9551  0.032713  0.463594  0.035621
    9561  0.032714  0.463582  0.035620
    9571  0.032756  0.463570  0.035620
    9581  0.032752  0.463559  0.035619
    9591  0.032764  0.463549  0.035618
    9601  0.032774  0.463540  0.035617
    9611  0.032786  0.463531  0.035617
    9621  0.032773  0.463521  0.035616
    9631  0.032749  0.463510  0.035615
    9641  0.032750  0.463500  0.035615
    9651  0.032751  0.463490  0.035614
    9661  0.032748  0.463481  0.035613
    9671  0.032736  0.463473  0.035612
    9681  0.032737  0.463465  0.035611
    9691  0.032730  0.463458  0.035609
    9701  0.032725  0.463452  0.035608
    9711  0.032709  0.463446  0.035606
    9721  0.032705  0.463440  0.035604
    9731  0.032683  0.463432  0.035602
    9741  0.032688  0.463426  0.035600
    9751  0.032688  0.463421  0.035598
    9761  0.032680  0.463417  0.035596
    9771  0.032678  0.463411  0.035594
    9781  0.032706  0.463404  0.035592
    9791  0.032743  0.463396  0.035591
    9801  0.032753  0.463387  0.035590
    9811  0.032803  0.463373  0.035590
    9821  0.032821  0.463361  0.035591
    9831  0.032825  0.463349  0.035591
    9841  0.032815  0.463338  0.035591
    9851  0.032811  0.463327  0.035591
    9861  0.032799  0.463315  0.035591
    9871  0.032786  0.463303  0.035591
    9881  0.032807  0.463294  0.035590
    9891  0.032807  0.463285  0.035590
    9901  0.032793  0.463277  0.035590
    9911  0.032763  0.463266  0.035590
    9921  0.032750  0.463254  0.035589
    9931  0.032747  0.463244  0.035589
    9941  0.032732  0.463233  0.035588
    9951  0.032719  0.463221  0.035587
    9961  0.032712  0.463209  0.035587
    9971  0.032724  0.463199  0.035586
    9981  0.032706  0.463187  0.035585
    9991  0.032724  0.463177  0.035584
    9001  0.163767  0.665610  0.012539
    9011  0.163763  0.665610  0.012539
    9021  0.163750  0.665610  0.012539
    9031  0.163742  0.665610  0.012539
    9041  0.163730  0.665610  0.012539
    9051  0.163730  0.665610  0.012539
    9061  0.163730  0.665610  0.012539
    9071  0.163734  0.665610  0.012538
    9081  0.163732  0.665610  0.012538
    9091  0.163735  0.665610  0.012537
    9101  0.163743  0.665610  0.012537
    9111  0.163733  0.665610  0.012537
    9121  0.163735  0.665610  0.012536
    9131  0.163732  0.665610  0.012536
    9141  0.163735  0.665610  0.012535
    9151  0.163729  0.665610  0.012535
    9161  0.163721  0.665610  0.012534
    9171  0.163713  0.665610  0.012534
    9181  0.163707  0.665611  0.012533
    9191  0.163707  0.665611  0.012532
    9201  0.163706  0.665611  0.012532
    9211  0.163701  0.665611  0.012531
    9221  0.163698  0.665611  0.012530
    9231  0.163693  0.665611  0.012530
    9241  0.163697  0.665611  0.012529
    9251  0.163690  0.665611  0.012528
    9261  0.163688  0.665611  0.012528
    9271  0.163683  0.665611  0.012527
    9281  0.163689  0.665611  0.012526
    9291  0.163678  0.665611  0.012525
    9301  0.163678  0.665611  0.012525
    9311  0.163663  0.665611  0.012524
    9321  0.163655  0.665611  0.012524
    9331  0.163664  0.665611  0.012524
    9341  0.163663  0.665611  0.012523
    9351  0.163667  0.665611  0.012523
    9361  0.163672  0.665611  0.012523
    9371  0.163673  0.665611  0.012523
    9381  0.163675  0.665611  0.012522
    9391  0.163672  0.665611  0.012522
    9401  0.163664  0.665611  0.012522
    9411  0.163658  0.665611  0.012521
    9421  0.163665  0.665611  0.012521
    9431  0.163664  0.665611  0.012521
    9441  0.163662  0.665611  0.012520
    9451  0.163657  0.665611  0.012520
    9461  0.163659  0.665612  0.012519
    9471  0.163656  0.665612  0.012518
    9481  0.163659  0.665612  0.012518
    9491  0.163652  0.665612  0.012518
    9501  0.163648  0.665612  0.012517
    9511  0.163652  0.665612  0.012517
    9521  0.163661  0.665612  0.012517
    9531  0.163661  0.665612  0.012516
    9541  0.163665  0.665612  0.012516
    9551  0.163667  0.665612  0.012515
    9561  0.163673  0.665612  0.012515
    9571  0.163682  0.665612  0.012514
    9581  0.163680  0.665612  0.012514
    9591  0.163690  0.665612  0.012514
    9601  0.163695  0.665612  0.012513
    9611  0.163688  0.665612  0.012513
