   #Iter             Tot             Exc             Ani              DM              PD           BiqDM              BQ             Dip          Zeeman             LSF            Chir
       0  7.48472673E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.48472673E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
      50  4.36932206E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.36932206E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     100  6.63519218E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.63519218E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     150  4.76493415E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.76493415E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     200  2.04033637E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.04033637E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     250  2.41966064E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.41966064E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     300  7.92686821E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.92686821E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     350  1.95173336E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.95173336E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     400  4.19488140E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.19488140E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     450  6.86534382E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.86534382E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     500  2.41920398E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.41920398E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     550  1.60257307E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.60257307E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     600  1.66894803E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.66894803E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     650  7.07482713E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.07482713E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     700  3.27401750E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.27401750E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     750  4.75632431E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.75632431E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     800  1.56670476E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.56670476E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     850  5.89823265E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.89823265E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     900  6.51155591E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.51155591E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     950  2.50494705E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.50494705E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1000  1.52711614E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.52711614E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1050  9.13887586E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.13887586E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1100  2.44613580E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.44613580E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1150  1.78507101E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.78507101E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1200  7.80197951E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.80197951E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1250  1.11995223E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.11995223E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1300  9.99177990E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.99177990E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1350  1.21631062E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.21631062E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1400  4.27410598E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.27410598E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1450  1.87707473E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.87707473E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1500  3.56298060E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.56298060E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1550  4.34455146E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.34455146E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1600  2.33545389E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.33545389E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1650  7.55498794E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.55498794E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1700  1.04625179E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.04625179E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1750  2.02647167E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.02647167E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1800  1.72562012E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.72562012E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1850  6.36361073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.36361073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1900  1.99664620E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.99664620E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1950  2.13855073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.13855073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2000  1.44964591E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.44964591E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2050  6.00148880E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.00148880E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2100  3.67213228E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.67213228E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2150  8.96119334E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.96119334E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
